gene_names1	match_protein_names1	gene_names2	match_protein_names2	coexpression
CD274	PD-L1	MPO	MPO	0.057
GFAP	GFAP	MPO	MPO	0.058
CR2	CD21	MPO	MPO	0
FCGR3A	CD16	MPO	MPO	0.123
CD38	CD38	MPO	MPO	0.067
MPO	MPO	SDC1	synd	0
CXCL13	CXCL13	MPO	MPO	0
CD8A	CD8	MPO	MPO	0.045
HLA-DRA	HLA-DR	MPO	MPO	0.099
MPO	MPO	MS4A1	CD20	0.066
CD47	CD47	MPO	MPO	0.066
CD14	CD14	MPO	MPO	0.152
HLA-A	HLA-A	MPO	MPO	0.06
KIT	C-KIT	MPO	MPO	0.066
MAP2	MAP2	MPO	MPO	0
ICOS	ICOS	MPO	MPO	0.043
MPO	MPO	PTPRC	CD45	0.113
MPO	MPO	PDGFRA	PDGFR	0.045
MPO	MPO	PDCD1	PD-1	0.042
CD44	CD44	MPO	MPO	0.067
FCER2	CD23	MPO	MPO	0.08
CD3E	CD3e	MPO	MPO	0.059
IDH1	IDH1	MPO	MPO	0.074
CD68	CD68	MPO	MPO	0.053
FGA	FIBR	MPO	MPO	0.045
MPO	MPO	PECAM1	CD31	0.084
MPO	MPO	VIM	Vimentin	0.062
FOXP3	FOXP3	MPO	MPO	0
CXCR5	CXCR5	MPO	MPO	0.044
MKI67	Ki67	MPO	MPO	0.084
CD38	CD38	IDH1	IDH1	0.042
CD38	CD38	CD3E	CD3e	0.162
CD38	CD38	FCER2	CD23	0.086
CD38	CD38	CD44	CD44	0.11
CD38	CD38	PDCD1	PD-1	0.072
CD38	CD38	PECAM1	CD31	0.08
CD38	CD38	CD68	CD68	0.047
CD38	CD38	CXCR5	CXCR5	0.056
CD38	CD38	FOXP3	FOXP3	0
CD38	CD38	MKI67	Ki67	0.063
CD38	CD38	GFAP	GFAP	0
CD274	PD-L1	CD38	CD38	0.094
CD38	CD38	PDPN	Podoplanin	0.081
CD38	CD38	SIRPA	SIRP	0
CD38	CD38	CD8A	CD8	0.144
CD38	CD38	CXCL13	CXCL13	0.143
CD38	CD38	SDC1	synd	0
CD38	CD38	FCGR3A	CD16	0.106
CD38	CD38	CR2	CD21	0.114
CD38	CD38	TOX	TOX	0.076
CD38	CD38	HLA-A	HLA-A	0.059
CD38	CD38	CD47	CD47	0.092
CD38	CD38	MS4A1	CD20	0.166
CD38	CD38	HLA-DRA	HLA-DR	0.139
CD38	CD38	PDGFRA	PDGFR	0.059
CD38	CD38	PTPRC	CD45	0.185
CD38	CD38	GZMK	Granzyme K	0.169
CD38	CD38	ICOS	ICOS	0.157
CD38	CD38	KIT	C-KIT	0.051
CR2	CD21	GZMK	Granzyme K	0.125
FCGR3A	CD16	GZMK	Granzyme K	0.212
CXCL13	CXCL13	GZMK	Granzyme K	0.27
CD8A	CD8	GZMK	Granzyme K	0.787
GZMK	Granzyme K	SIRPA	SIRP	0.057
CD274	PD-L1	GZMK	Granzyme K	0.055
GZMK	Granzyme K	KIT	C-KIT	0.068
GZMK	Granzyme K	ICOS	ICOS	0.462
GZMK	Granzyme K	PTPRC	CD45	0.253
GZMK	Granzyme K	MS4A1	CD20	0.252
GZMK	Granzyme K	HLA-DRA	HLA-DR	0.223
CD14	CD14	GZMK	Granzyme K	0.157
CD47	CD47	GZMK	Granzyme K	0.103
GZMK	Granzyme K	HLA-A	HLA-A	0.084
CD68	CD68	GZMK	Granzyme K	0.075
GZMK	Granzyme K	PECAM1	CD31	0.159
GZMK	Granzyme K	PDCD1	PD-1	0.162
CD44	CD44	GZMK	Granzyme K	0.094
FCER2	CD23	GZMK	Granzyme K	0.082
CD3E	CD3e	GZMK	Granzyme K	0.447
GZMK	Granzyme K	MKI67	Ki67	0
FOXP3	FOXP3	GZMK	Granzyme K	0.086
CXCR5	CXCR5	GZMK	Granzyme K	0.085
KIT	C-KIT	MSH6	MSH6	0
MSH6	MSH6	PDGFRA	PDGFR	0
MSH6	MSH6	PTPRC	CD45	0.042
CD8A	CD8	MSH6	MSH6	0
MGMT	MGMT	MSH6	MSH6	0.05
CD274	PD-L1	MSH6	MSH6	0
MKI67	Ki67	MSH6	MSH6	0.098
FOXP3	FOXP3	MSH6	MSH6	0
CD68	CD68	MSH6	MSH6	0
MSH6	MSH6	VIM	Vimentin	0.044
MSH6	MSH6	PDCD1	PD-1	0
CD44	CD44	MSH6	MSH6	0.042
IDH1	IDH1	MSH6	MSH6	0.06
CD68	CD68	DLG4	PSD95	0.069
CD68	CD68	VIM	Vimentin	0.141
CD68	CD68	PECAM1	CD31	0.165
CD68	CD68	IDH1	IDH1	0.074
CD3E	CD3e	CD68	CD68	0.134
CD68	CD68	PDCD1	PD-1	0.058
CD68	CD68	FCER2	CD23	0.073
CD44	CD44	CD68	CD68	0.129
CD68	CD68	MKI67	Ki67	0
CD68	CD68	CXCR5	CXCR5	0.047
CD68	CD68	FOXP3	FOXP3	0
CD68	CD68	SDC1	synd	0
CD68	CD68	CD8A	CD8	0.089
CD68	CD68	CXCL13	CXCL13	0.049
CD68	CD68	CR2	CD21	0
CD68	CD68	FCGR3A	CD16	0.247
CD274	PD-L1	CD68	CD68	0.1
CD68	CD68	GFAP	GFAP	0.074
CD68	CD68	SIRPA	SIRP	0.152
CD68	CD68	PDPN	Podoplanin	0.064
CD68	CD68	MGMT	MGMT	0
CD68	CD68	ICOS	ICOS	0.056
CD68	CD68	MAP2	MAP2	0
CD68	CD68	PDGFRA	PDGFR	0.056
CD68	CD68	PTPRC	CD45	0.169
CD68	CD68	KIT	C-KIT	0.11
CD68	CD68	SYN1	SYNA	0
CD14	CD14	CD68	CD68	0.223
CD47	CD47	CD68	CD68	0.087
CD68	CD68	MS4A1	CD20	0.072
CD68	CD68	HLA-DRA	HLA-DR	0.133
CD68	CD68	OLIG2	OLIG2	0
CD68	CD68	HLA-A	HLA-A	0.157
FOXP3	FOXP3	GFAP	GFAP	0.044
GFAP	GFAP	MKI67	Ki67	0.067
CD44	CD44	GFAP	GFAP	0.059
CD3E	CD3e	GFAP	GFAP	0.073
GFAP	GFAP	IDH1	IDH1	0
DLG4	PSD95	GFAP	GFAP	0.118
GFAP	GFAP	VIM	Vimentin	0
GFAP	GFAP	PECAM1	CD31	0
CD47	CD47	GFAP	GFAP	0.076
GFAP	GFAP	HLA-DRA	HLA-DR	0
GFAP	GFAP	OLIG2	OLIG2	0.196
GFAP	GFAP	HLA-A	HLA-A	0.067
GFAP	GFAP	SYN1	SYNA	0.219
GFAP	GFAP	KIT	C-KIT	0.055
GFAP	GFAP	MAP2	MAP2	0.181
GFAP	GFAP	PDGFRA	PDGFR	0.057
GFAP	GFAP	PTPRC	CD45	0.054
GFAP	GFAP	SIRPA	SIRP	0.072
GFAP	GFAP	PDPN	Podoplanin	0.075
GFAP	GFAP	MGMT	MGMT	0
CD274	PD-L1	GFAP	GFAP	0.067
FCGR3A	CD16	GFAP	GFAP	0.113
GFAP	GFAP	SDC1	synd	0
CD8A	CD8	GFAP	GFAP	0
CXCL13	CXCL13	GFAP	GFAP	0
FGA	FIBR	PDGFRA	PDGFR	0.042
DLG4	PSD95	PDGFRA	PDGFR	0.047
PDGFRA	PDGFR	VIM	Vimentin	0.097
PDGFRA	PDGFR	PECAM1	CD31	0.063
PDCD1	PD-1	PDGFRA	PDGFR	0
CD44	CD44	PDGFRA	PDGFR	0.074
IDH1	IDH1	PDGFRA	PDGFR	0
CD3E	CD3e	PDGFRA	PDGFR	0.061
MKI67	Ki67	PDGFRA	PDGFR	0
FOXP3	FOXP3	PDGFRA	PDGFR	0
FCGR3A	CD16	PDGFRA	PDGFR	0.052
PDGFRA	PDGFR	SDC1	synd	0
CD8A	CD8	PDGFRA	PDGFR	0.069
CXCL13	CXCL13	PDGFRA	PDGFR	0.059
PDGFRA	PDGFR	SIRPA	SIRP	0.101
PDGFRA	PDGFR	PDPN	Podoplanin	0.099
MGMT	MGMT	PDGFRA	PDGFR	0
CD274	PD-L1	PDGFRA	PDGFR	0.048
KIT	C-KIT	PDGFRA	PDGFR	0.097
MAP2	MAP2	PDGFRA	PDGFR	0
PDGFRA	PDGFR	PTPRC	CD45	0.056
CD47	CD47	PDGFRA	PDGFR	0.061
MS4A1	CD20	PDGFRA	PDGFR	0
HLA-DRA	HLA-DR	PDGFRA	PDGFR	0.073
OLIG2	OLIG2	PDGFRA	PDGFR	0
HLA-A	HLA-A	PDGFRA	PDGFR	0.075
PDGFRA	PDGFR	SYN1	SYNA	0
FCER2	CD23	PDCD1	PD-1	0.141
CD3E	CD3e	FCER2	CD23	0.134
FCER2	CD23	PECAM1	CD31	0.074
FCER2	CD23	FOXP3	FOXP3	0.062
CXCR5	CXCR5	FCER2	CD23	0.391
CD274	PD-L1	FCER2	CD23	0.064
CR2	CD21	FCER2	CD23	0.643
FCER2	CD23	FCGR3A	CD16	0.084
FCER2	CD23	SDC1	synd	0
CD8A	CD8	FCER2	CD23	0.077
CXCL13	CXCL13	FCER2	CD23	0.069
CD14	CD14	FCER2	CD23	0.08
FCER2	CD23	MS4A1	CD20	0.495
FCER2	CD23	HLA-DRA	HLA-DR	0.141
FCER2	CD23	HLA-A	HLA-A	0.082
FCER2	CD23	KIT	C-KIT	0.056
FCER2	CD23	ICOS	ICOS	0.086
FCER2	CD23	PTPRC	CD45	0.18
CXCL13	CXCL13	PDPN	Podoplanin	0.056
CD44	CD44	CXCL13	CXCL13	0.042
CXCL13	CXCL13	PDCD1	PD-1	0.08
CXCL13	CXCL13	SIRPA	SIRP	0.084
CD3E	CD3e	CXCL13	CXCL13	0.139
CD274	PD-L1	CXCL13	CXCL13	0.087
CXCL13	CXCL13	FCGR3A	CD16	0.11
CR2	CD21	CXCL13	CXCL13	0.195
CD8A	CD8	CXCL13	CXCL13	0.162
CXCL13	CXCL13	PECAM1	CD31	0.067
CXCL13	CXCL13	SDC1	synd	0.044
CXCL13	CXCL13	TOX	TOX	0.082
CXCL13	CXCL13	FOXP3	FOXP3	0.061
CXCL13	CXCL13	HLA-A	HLA-A	0.06
CD47	CD47	CXCL13	CXCL13	0
CXCL13	CXCL13	HLA-DRA	HLA-DR	0.161
CXCL13	CXCL13	MS4A1	CD20	0.261
CXCL13	CXCL13	CXCR5	CXCR5	0.1
CXCL13	CXCL13	KIT	C-KIT	0.063
CXCL13	CXCL13	MKI67	Ki67	0.054
CXCL13	CXCL13	PTPRC	CD45	0.143
CXCL13	CXCL13	ICOS	ICOS	0.171
KIT	C-KIT	VIM	Vimentin	0.077
KIT	C-KIT	PECAM1	CD31	0.048
FGA	FIBR	KIT	C-KIT	0
CD3E	CD3e	KIT	C-KIT	0.062
IDH1	IDH1	KIT	C-KIT	0
CD44	CD44	KIT	C-KIT	0.087
KIT	C-KIT	PDCD1	PD-1	0
KIT	C-KIT	MKI67	Ki67	0
CXCR5	CXCR5	KIT	C-KIT	0
FOXP3	FOXP3	KIT	C-KIT	0
CD8A	CD8	KIT	C-KIT	0.056
KIT	C-KIT	SDC1	synd	0
FCGR3A	CD16	KIT	C-KIT	0.087
CR2	CD21	KIT	C-KIT	0.061
CD274	PD-L1	KIT	C-KIT	0.086
KIT	C-KIT	PDPN	Podoplanin	0.044
KIT	C-KIT	MGMT	MGMT	0
KIT	C-KIT	SIRPA	SIRP	0.11
KIT	C-KIT	PTPRC	CD45	0.235
ICOS	ICOS	KIT	C-KIT	0.082
KIT	C-KIT	TOX	TOX	0.056
KIT	C-KIT	OLIG2	OLIG2	0.054
HLA-A	HLA-A	KIT	C-KIT	0.057
CD47	CD47	KIT	C-KIT	0.087
HLA-DRA	HLA-DR	KIT	C-KIT	0.063
KIT	C-KIT	MS4A1	CD20	0.042
CXCR5	CXCR5	ICOS	ICOS	0.192
CXCR5	CXCR5	PTPRC	CD45	0.111
CXCR5	CXCR5	MKI67	Ki67	0
CXCR5	CXCR5	HLA-DRA	HLA-DR	0.14
