gene_names1	match_protein_names1	gene_names2	match_protein_names2	coexpression
CD274	PD-L1	SDC1	synd	0
CD8A	CD8	SDC1	synd	0
HLA-A	HLA-A	SDC1	synd	0.042
MS4A1	CD20	SDC1	synd	0
PTPRC	CD45	SDC1	synd	0
CD44	CD44	SDC1	synd	0
IDH1	IDH1	SDC1	synd	0.072
SDC1	synd	VIM	Vimentin	0
PECAM1	CD31	SDC1	synd	0
DLG4	PSD95	SDC1	synd	0.061
CD274	PD-L1	CD8A	CD8	0.077
CD274	PD-L1	SIRPA	SIRP	0.062
CD274	PD-L1	PTPRC	CD45	0.117
CD274	PD-L1	HLA-A	HLA-A	0.099
CD274	PD-L1	HLA-DRA	HLA-DR	0.081
CD274	PD-L1	MS4A1	CD20	0.062
CD274	PD-L1	PECAM1	CD31	0.042
CD274	PD-L1	VIM	Vimentin	0.074
CD274	PD-L1	IDH1	IDH1	0
CD274	PD-L1	CD44	CD44	0.086
FGA	FIBR	HLA-DRA	HLA-DR	0
HLA-DRA	HLA-DR	VIM	Vimentin	0.086
HLA-DRA	HLA-DR	PECAM1	CD31	0.252
CD44	CD44	HLA-DRA	HLA-DR	0.108
CD8A	CD8	HLA-DRA	HLA-DR	0.203
HLA-DRA	HLA-DR	SIRPA	SIRP	0.126
HLA-DRA	HLA-DR	PTPRC	CD45	0.265
CD14	CD14	HLA-DRA	HLA-DR	0.314
HLA-DRA	HLA-DR	MS4A1	CD20	0.198
HLA-A	HLA-A	HLA-DRA	HLA-DR	0.264
CD14	CD14	HLA-A	HLA-A	0.133
HLA-A	HLA-A	MS4A1	CD20	0.083
HLA-A	HLA-A	PTPRC	CD45	0.105
HLA-A	HLA-A	SIRPA	SIRP	0.102
CD8A	CD8	HLA-A	HLA-A	0.105
HLA-A	HLA-A	IDH1	IDH1	0.042
CD44	CD44	HLA-A	HLA-A	0.11
HLA-A	HLA-A	VIM	Vimentin	0.155
HLA-A	HLA-A	PECAM1	CD31	0.146
CD14	CD14	MS4A1	CD20	0.073
CD14	CD14	PTPRC	CD45	0.207
CD14	CD14	CD44	CD44	0.092
CD14	CD14	SIRPA	SIRP	0.278
CD14	CD14	PECAM1	CD31	0.271
CD14	CD14	VIM	Vimentin	0.153
CD14	CD14	CD8A	CD8	0.123
CD14	CD14	FGA	FIBR	0.045
CD8A	CD8	PTPRC	CD45	0.246
CD8A	CD8	MS4A1	CD20	0.164
CD8A	CD8	SIRPA	SIRP	0.059
CD8A	CD8	PECAM1	CD31	0.133
CD8A	CD8	VIM	Vimentin	0
CD44	CD44	CD8A	CD8	0.087
CD8A	CD8	IDH1	IDH1	0
IDH1	IDH1	PTPRC	CD45	0
IDH1	IDH1	SIRPA	SIRP	0.042
IDH1	IDH1	PECAM1	CD31	0.042
IDH1	IDH1	VIM	Vimentin	0
CD44	CD44	IDH1	IDH1	0.042
CD44	CD44	SIRPA	SIRP	0.123
CD44	CD44	MS4A1	CD20	0.097
CD44	CD44	PTPRC	CD45	0.142
CD44	CD44	PECAM1	CD31	0.099
CD44	CD44	VIM	Vimentin	0.268
CD44	CD44	DLG4	PSD95	0
MS4A1	CD20	PTPRC	CD45	0.367
PTPRC	CD45	SIRPA	SIRP	0.084
PECAM1	CD31	PTPRC	CD45	0.227
PTPRC	CD45	VIM	Vimentin	0.118
DLG4	PSD95	PTPRC	CD45	0.056
FGA	FIBR	PTPRC	CD45	0.042
MS4A1	CD20	SIRPA	SIRP	0.044
MS4A1	CD20	PECAM1	CD31	0.083
SIRPA	SIRP	VIM	Vimentin	0.11
FGA	FIBR	VIM	Vimentin	0
PECAM1	CD31	VIM	Vimentin	0.138
FGA	FIBR	PECAM1	CD31	0
DLG4	PSD95	PECAM1	CD31	0.047
PECAM1	CD31	SIRPA	SIRP	0.084
DLG4	PSD95	SIRPA	SIRP	0.109
